id,image_url,image_url_small,image_url_cropped,name,upscaled_image
64163367,https://images.ygoprodeck.com/images/cards/64163367.jpg,https://images.ygoprodeck.com/images/cards_small/64163367.jpg,https://images.ygoprodeck.com/images/cards_cropped/64163367.jpg,"""A"" Cell Incubator", 
91231901,https://images.ygoprodeck.com/images/cards/91231901.jpg,https://images.ygoprodeck.com/images/cards_small/91231901.jpg,https://images.ygoprodeck.com/images/cards_cropped/91231901.jpg,"""A"" Cell Recombination Device", 
73262676,https://images.ygoprodeck.com/images/cards/73262676.jpg,https://images.ygoprodeck.com/images/cards_small/73262676.jpg,https://images.ygoprodeck.com/images/cards_cropped/73262676.jpg,"""A"" Cell Scatter Burst", 
98319530,https://images.ygoprodeck.com/images/cards/98319530.jpg,https://images.ygoprodeck.com/images/cards_small/98319530.jpg,https://images.ygoprodeck.com/images/cards_cropped/98319530.jpg,"""Infernoble Arms - Almace""",./Images Database/98319530.png
37478723,https://images.ygoprodeck.com/images/cards/37478723.jpg,https://images.ygoprodeck.com/images/cards_small/37478723.jpg,https://images.ygoprodeck.com/images/cards_cropped/37478723.jpg,"""Infernoble Arms - Durendal""",./Images Database/37478723.png
64867422,https://images.ygoprodeck.com/images/cards/64867422.jpg,https://images.ygoprodeck.com/images/cards_small/64867422.jpg,https://images.ygoprodeck.com/images/cards_cropped/64867422.jpg,"""Infernoble Arms - Hauteclere""", 
90861137,https://images.ygoprodeck.com/images/cards/90861137.jpg,https://images.ygoprodeck.com/images/cards_small/90861137.jpg,https://images.ygoprodeck.com/images/cards_cropped/90861137.jpg,"""Infernoble Arms - Joyeuse""",./Images Database/90861137.png
44256816,https://images.ygoprodeck.com/images/cards/44256816.jpg,https://images.ygoprodeck.com/images/cards_small/44256816.jpg,https://images.ygoprodeck.com/images/cards_cropped/44256816.jpg,1st Movement Solo, 
86988864,https://images.ygoprodeck.com/images/cards/86988864.jpg,https://images.ygoprodeck.com/images/cards_small/86988864.jpg,https://images.ygoprodeck.com/images/cards_cropped/86988864.jpg,3-Hump Lacooda, 
11714098,https://images.ygoprodeck.com/images/cards/11714098.jpg,https://images.ygoprodeck.com/images/cards_small/11714098.jpg,https://images.ygoprodeck.com/images/cards_cropped/11714098.jpg,"30,000-Year White Turtle", 
83994646,https://images.ygoprodeck.com/images/cards/83994646.jpg,https://images.ygoprodeck.com/images/cards_small/83994646.jpg,https://images.ygoprodeck.com/images/cards_cropped/83994646.jpg,4-Starred Ladybug of Doom,./Images Database/83994646.png
67048711,https://images.ygoprodeck.com/images/cards/67048711.jpg,https://images.ygoprodeck.com/images/cards_small/67048711.jpg,https://images.ygoprodeck.com/images/cards_cropped/67048711.jpg,7, 
23771716,https://images.ygoprodeck.com/images/cards/23771716.jpg,https://images.ygoprodeck.com/images/cards_small/23771716.jpg,https://images.ygoprodeck.com/images/cards_cropped/23771716.jpg,7 Colored Fish, 
86198326,https://images.ygoprodeck.com/images/cards/86198326.jpg,https://images.ygoprodeck.com/images/cards_small/86198326.jpg,https://images.ygoprodeck.com/images/cards_cropped/86198326.jpg,7 Completed, 
14261867,https://images.ygoprodeck.com/images/cards/14261867.jpg,https://images.ygoprodeck.com/images/cards_small/14261867.jpg,https://images.ygoprodeck.com/images/cards_cropped/14261867.jpg,8-Claws Scorpion, 
24140059,https://images.ygoprodeck.com/images/cards/24140059.jpg,https://images.ygoprodeck.com/images/cards_small/24140059.jpg,https://images.ygoprodeck.com/images/cards_cropped/24140059.jpg,A Cat of Ill Omen, 
6850209,https://images.ygoprodeck.com/images/cards/6850209.jpg,https://images.ygoprodeck.com/images/cards_small/6850209.jpg,https://images.ygoprodeck.com/images/cards_cropped/6850209.jpg,A Deal with Dark Ruler, 
49140998,https://images.ygoprodeck.com/images/cards/49140998.jpg,https://images.ygoprodeck.com/images/cards_small/49140998.jpg,https://images.ygoprodeck.com/images/cards_cropped/49140998.jpg,A Feather of the Phoenix, 
68170903,https://images.ygoprodeck.com/images/cards/68170903.jpg,https://images.ygoprodeck.com/images/cards_small/68170903.jpg,https://images.ygoprodeck.com/images/cards_cropped/68170903.jpg,A Feint Plan, 
21597117,https://images.ygoprodeck.com/images/cards/21597117.jpg,https://images.ygoprodeck.com/images/cards_small/21597117.jpg,https://images.ygoprodeck.com/images/cards_cropped/21597117.jpg,A Hero Emerges, 
8949584,https://images.ygoprodeck.com/images/cards/8949584.jpg,https://images.ygoprodeck.com/images/cards_small/8949584.jpg,https://images.ygoprodeck.com/images/cards_cropped/8949584.jpg,A Hero Lives,./Images Database/8949584.png
295517,https://images.ygoprodeck.com/images/cards/295517.jpg,https://images.ygoprodeck.com/images/cards_small/295517.jpg,https://images.ygoprodeck.com/images/cards_cropped/295517.jpg,A Legendary Ocean, 
32207100,https://images.ygoprodeck.com/images/cards/32207100.jpg,https://images.ygoprodeck.com/images/cards_small/32207100.jpg,https://images.ygoprodeck.com/images/cards_cropped/32207100.jpg,A Major Upset, 
51351302,https://images.ygoprodeck.com/images/cards/51351302.jpg,https://images.ygoprodeck.com/images/cards_small/51351302.jpg,https://images.ygoprodeck.com/images/cards_cropped/51351302.jpg,A Man with Wdjat, 
5728014,https://images.ygoprodeck.com/images/cards/5728014.jpg,https://images.ygoprodeck.com/images/cards_small/5728014.jpg,https://images.ygoprodeck.com/images/cards_cropped/5728014.jpg,A Rival Appears!, 
44553392,https://images.ygoprodeck.com/images/cards/44553392.jpg,https://images.ygoprodeck.com/images/cards_small/44553392.jpg,https://images.ygoprodeck.com/images/cards_cropped/44553392.jpg,"A Shattered, Colorless Realm", 
