id,image_url_en,image_url_small,image_url_cropped,name,upscaled_image,image_url_ar,upscaled_image_en,upscaled_image_ar
8949584,https://images.ygoprodeck.com/images/cards/8949584.jpg,https://images.ygoprodeck.com/images/cards_small/8949584.jpg,https://images.ygoprodeck.com/images/cards_cropped/8949584.jpg,A Hero Lives, ,https://www.arab-duelists.com/assets/img/cards/8949584.jpg,./Images Database/en/8949584.png,./Images Database/ar/8949584.png
295517,https://images.ygoprodeck.com/images/cards/295517.jpg,https://images.ygoprodeck.com/images/cards_small/295517.jpg,https://images.ygoprodeck.com/images/cards_cropped/295517.jpg,A Legendary Ocean, ,https://www.arab-duelists.com/assets/img/cards/295517.jpg,./Images Database/en/295517.png,./Images Database/ar/295517.png
32207100,https://images.ygoprodeck.com/images/cards/32207100.jpg,https://images.ygoprodeck.com/images/cards_small/32207100.jpg,https://images.ygoprodeck.com/images/cards_cropped/32207100.jpg,A Major Upset, ,https://www.arab-duelists.com/assets/img/cards/32207100.jpg,,
51351302,https://images.ygoprodeck.com/images/cards/51351302.jpg,https://images.ygoprodeck.com/images/cards_small/51351302.jpg,https://images.ygoprodeck.com/images/cards_cropped/51351302.jpg,A Man with Wdjat, ,https://www.arab-duelists.com/assets/img/cards/51351302.jpg,,
5728014,https://images.ygoprodeck.com/images/cards/5728014.jpg,https://images.ygoprodeck.com/images/cards_small/5728014.jpg,https://images.ygoprodeck.com/images/cards_cropped/5728014.jpg,A Rival Appears!, ,https://www.arab-duelists.com/assets/img/cards/5728014.jpg,,
44553392,https://images.ygoprodeck.com/images/cards/44553392.jpg,https://images.ygoprodeck.com/images/cards_small/44553392.jpg,https://images.ygoprodeck.com/images/cards_cropped/44553392.jpg,"A Shattered, Colorless Realm", ,https://www.arab-duelists.com/assets/img/cards/44553392.jpg,,
23587624,https://images.ygoprodeck.com/images/cards/23587624.jpg,https://images.ygoprodeck.com/images/cards_small/23587624.jpg,https://images.ygoprodeck.com/images/cards_cropped/23587624.jpg,A Wild Monster Appears!, ,https://www.arab-duelists.com/assets/img/cards/23587624.jpg,,
28596933,https://images.ygoprodeck.com/images/cards/28596933.jpg,https://images.ygoprodeck.com/images/cards_small/28596933.jpg,https://images.ygoprodeck.com/images/cards_cropped/28596933.jpg,A Wingbeat of Giant Dragon, ,https://www.arab-duelists.com/assets/img/cards/28596933.jpg,,
30012506,https://images.ygoprodeck.com/images/cards/30012506.jpg,https://images.ygoprodeck.com/images/cards_small/30012506.jpg,https://images.ygoprodeck.com/images/cards_cropped/30012506.jpg,A-Assault Core, ,https://www.arab-duelists.com/assets/img/cards/30012506.jpg,,
13026402,https://images.ygoprodeck.com/images/cards/13026402.jpg,https://images.ygoprodeck.com/images/cards_small/13026402.jpg,https://images.ygoprodeck.com/images/cards_cropped/13026402.jpg,A-Team: Trap Disposal Unit, ,https://www.arab-duelists.com/assets/img/cards/13026402.jpg,,
75926389,https://images.ygoprodeck.com/images/cards/75926389.jpg,https://images.ygoprodeck.com/images/cards_small/75926389.jpg,https://images.ygoprodeck.com/images/cards_cropped/75926389.jpg,A-to-Z Energy Load, ,https://www.arab-duelists.com/assets/img/cards/75926389.jpg,,
65172015,https://images.ygoprodeck.com/images/cards/65172015.jpg,https://images.ygoprodeck.com/images/cards_small/65172015.jpg,https://images.ygoprodeck.com/images/cards_cropped/65172015.jpg,A-to-Z-Dragon Buster Cannon, ,https://www.arab-duelists.com/assets/img/cards/65172015.jpg,,
28645123,https://images.ygoprodeck.com/images/cards/28645123.jpg,https://images.ygoprodeck.com/images/cards_small/28645123.jpg,https://images.ygoprodeck.com/images/cards_cropped/28645123.jpg,A.I. Challenge You, ,https://www.arab-duelists.com/assets/img/cards/28645123.jpg,,
10493654,https://images.ygoprodeck.com/images/cards/10493654.jpg,https://images.ygoprodeck.com/images/cards_small/10493654.jpg,https://images.ygoprodeck.com/images/cards_cropped/10493654.jpg,A.I. Contact, ,https://www.arab-duelists.com/assets/img/cards/10493654.jpg,,
59332125,https://images.ygoprodeck.com/images/cards/59332125.jpg,https://images.ygoprodeck.com/images/cards_small/59332125.jpg,https://images.ygoprodeck.com/images/cards_cropped/59332125.jpg,A.I. Love Fusion, ,https://www.arab-duelists.com/assets/img/cards/59332125.jpg,,
6552971,https://images.ygoprodeck.com/images/cards/6552971.jpg,https://images.ygoprodeck.com/images/cards_small/6552971.jpg,https://images.ygoprodeck.com/images/cards_cropped/6552971.jpg,A.I. Meet You, ,https://www.arab-duelists.com/assets/img/cards/6552971.jpg,,
77421977,https://images.ygoprodeck.com/images/cards/77421977.jpg,https://images.ygoprodeck.com/images/cards_small/77421977.jpg,https://images.ygoprodeck.com/images/cards_cropped/77421977.jpg,A.I. Shadow, ,https://www.arab-duelists.com/assets/img/cards/77421977.jpg,,
85327820,https://images.ygoprodeck.com/images/cards/85327820.jpg,https://images.ygoprodeck.com/images/cards_small/85327820.jpg,https://images.ygoprodeck.com/images/cards_cropped/85327820.jpg,A.I.'s Ritual, ,https://www.arab-duelists.com/assets/img/cards/85327820.jpg,,
54374642,https://images.ygoprodeck.com/images/cards/54374642.jpg,https://images.ygoprodeck.com/images/cards_small/54374642.jpg,https://images.ygoprodeck.com/images/cards_cropped/54374642.jpg,A.I.'s Show, ,https://www.arab-duelists.com/assets/img/cards/54374642.jpg,,
22933016,https://images.ygoprodeck.com/images/cards/22933016.jpg,https://images.ygoprodeck.com/images/cards_small/22933016.jpg,https://images.ygoprodeck.com/images/cards_cropped/22933016.jpg,A.I.dle Reborn, ,https://www.arab-duelists.com/assets/img/cards/22933016.jpg,,
69381150,https://images.ygoprodeck.com/images/cards/69381150.jpg,https://images.ygoprodeck.com/images/cards_small/69381150.jpg,https://images.ygoprodeck.com/images/cards_cropped/69381150.jpg,A.I.Q, ,https://www.arab-duelists.com/assets/img/cards/69381150.jpg,,
96146814,https://images.ygoprodeck.com/images/cards/96146814.jpg,https://images.ygoprodeck.com/images/cards_small/96146814.jpg,https://images.ygoprodeck.com/images/cards_cropped/96146814.jpg,A/D Changer, ,https://www.arab-duelists.com/assets/img/cards/96146814.jpg,,
12694768,https://images.ygoprodeck.com/images/cards/12694768.jpg,https://images.ygoprodeck.com/images/cards_small/12694768.jpg,https://images.ygoprodeck.com/images/cards_cropped/12694768.jpg,Abaki, ,https://www.arab-duelists.com/assets/img/cards/12694768.jpg,,
89718302,https://images.ygoprodeck.com/images/cards/89718302.jpg,https://images.ygoprodeck.com/images/cards_small/89718302.jpg,https://images.ygoprodeck.com/images/cards_cropped/89718302.jpg,Abare Ushioni, ,https://www.arab-duelists.com/assets/img/cards/89718302.jpg,,
1561110,https://images.ygoprodeck.com/images/cards/1561110.jpg,https://images.ygoprodeck.com/images/cards_small/1561110.jpg,https://images.ygoprodeck.com/images/cards_cropped/1561110.jpg,ABC-Dragon Buster, ,https://www.arab-duelists.com/assets/img/cards/1561110.jpg,,
21846145,https://images.ygoprodeck.com/images/cards/21846145.jpg,https://images.ygoprodeck.com/images/cards_small/21846145.jpg,https://images.ygoprodeck.com/images/cards_cropped/21846145.jpg,Abduction, ,https://www.arab-duelists.com/assets/img/cards/21846145.jpg,,
80801743,https://images.ygoprodeck.com/images/cards/80801743.jpg,https://images.ygoprodeck.com/images/cards_small/80801743.jpg,https://images.ygoprodeck.com/images/cards_cropped/80801743.jpg,Abominable Chamber of the Unchained, ,https://www.arab-duelists.com/assets/img/cards/80801743.jpg,,
1966438,https://images.ygoprodeck.com/images/cards/1966438.jpg,https://images.ygoprodeck.com/images/cards_small/1966438.jpg,https://images.ygoprodeck.com/images/cards_cropped/1966438.jpg,Abominable Unchained Soul, ,https://www.arab-duelists.com/assets/img/cards/1966438.jpg,,
27412542,https://images.ygoprodeck.com/images/cards/27412542.jpg,https://images.ygoprodeck.com/images/cards_small/27412542.jpg,https://images.ygoprodeck.com/images/cards_cropped/27412542.jpg,Abomination's Prison, ,https://www.arab-duelists.com/assets/img/cards/27412542.jpg,,
70832512,https://images.ygoprodeck.com/images/cards/70832512.jpg,https://images.ygoprodeck.com/images/cards_small/70832512.jpg,https://images.ygoprodeck.com/images/cards_cropped/70832512.jpg,Absolute Crusader, ,https://www.arab-duelists.com/assets/img/cards/70832512.jpg,,
27744077,https://images.ygoprodeck.com/images/cards/27744077.jpg,https://images.ygoprodeck.com/images/cards_small/27744077.jpg,https://images.ygoprodeck.com/images/cards_cropped/27744077.jpg,Absolute End, ,https://www.arab-duelists.com/assets/img/cards/27744077.jpg,,
27553701,https://images.ygoprodeck.com/images/cards/27553701.jpg,https://images.ygoprodeck.com/images/cards_small/27553701.jpg,https://images.ygoprodeck.com/images/cards_cropped/27553701.jpg,Absolute King - Megaplunder, ,https://www.arab-duelists.com/assets/img/cards/27553701.jpg,,
60990740,https://images.ygoprodeck.com/images/cards/60990740.jpg,https://images.ygoprodeck.com/images/cards_small/60990740.jpg,https://images.ygoprodeck.com/images/cards_cropped/60990740.jpg,Absolute King Back Jack, ,https://www.arab-duelists.com/assets/img/cards/60990740.jpg,,
51779204,https://images.ygoprodeck.com/images/cards/51779204.jpg,https://images.ygoprodeck.com/images/cards_small/51779204.jpg,https://images.ygoprodeck.com/images/cards_cropped/51779204.jpg,Absolute Powerforce, ,https://www.arab-duelists.com/assets/img/cards/51779204.jpg,./Images Database/en/51779204.png,./Images Database/ar/51779204.png
71422989,https://images.ygoprodeck.com/images/cards/71422989.jpg,https://images.ygoprodeck.com/images/cards_small/71422989.jpg,https://images.ygoprodeck.com/images/cards_cropped/71422989.jpg,Absorb Fusion, ,https://www.arab-duelists.com/assets/img/cards/71422989.jpg,./Images Database/en/71422989.png,./Images Database/ar/71422989.png
3900605,https://images.ygoprodeck.com/images/cards/3900605.jpg,https://images.ygoprodeck.com/images/cards_small/3900605.jpg,https://images.ygoprodeck.com/images/cards_cropped/3900605.jpg,Absorbing Jar, ,https://www.arab-duelists.com/assets/img/cards/3900605.jpg,,
49771608,https://images.ygoprodeck.com/images/cards/49771608.jpg,https://images.ygoprodeck.com/images/cards_small/49771608.jpg,https://images.ygoprodeck.com/images/cards_cropped/49771608.jpg,Absorbing Kid from the Sky, ,https://www.arab-duelists.com/assets/img/cards/49771608.jpg,,
67748760,https://images.ygoprodeck.com/images/cards/67748760.jpg,https://images.ygoprodeck.com/images/cards_small/67748760.jpg,https://images.ygoprodeck.com/images/cards_cropped/67748760.jpg,Absorouter Dragon, ,https://www.arab-duelists.com/assets/img/cards/67748760.jpg,./Images Database/en/67748760.png,./Images Database/ar/67748760.png
15308295,https://images.ygoprodeck.com/images/cards/15308295.jpg,https://images.ygoprodeck.com/images/cards_small/15308295.jpg,https://images.ygoprodeck.com/images/cards_cropped/15308295.jpg,Abyss Actor - Comic Relief, ,https://www.arab-duelists.com/assets/img/cards/15308295.jpg,,
44179224,https://images.ygoprodeck.com/images/cards/44179224.jpg,https://images.ygoprodeck.com/images/cards_small/44179224.jpg,https://images.ygoprodeck.com/images/cards_cropped/44179224.jpg,Abyss Actor - Curtain Raiser, ,https://www.arab-duelists.com/assets/img/cards/44179224.jpg,,
52240819,https://images.ygoprodeck.com/images/cards/52240819.jpg,https://images.ygoprodeck.com/images/cards_small/52240819.jpg,https://images.ygoprodeck.com/images/cards_cropped/52240819.jpg,Abyss Actor - Evil Heel, ,https://www.arab-duelists.com/assets/img/cards/52240819.jpg,,
88412339,https://images.ygoprodeck.com/images/cards/88412339.jpg,https://images.ygoprodeck.com/images/cards_small/88412339.jpg,https://images.ygoprodeck.com/images/cards_cropped/88412339.jpg,Abyss Actor - Extras, ,https://www.arab-duelists.com/assets/img/cards/88412339.jpg,,
99634927,https://images.ygoprodeck.com/images/cards/99634927.jpg,https://images.ygoprodeck.com/images/cards_small/99634927.jpg,https://images.ygoprodeck.com/images/cards_cropped/99634927.jpg,Abyss Actor - Funky Comedian, ,https://www.arab-duelists.com/assets/img/cards/99634927.jpg,,
2368215,https://images.ygoprodeck.com/images/cards/2368215.jpg,https://images.ygoprodeck.com/images/cards_small/2368215.jpg,https://images.ygoprodeck.com/images/cards_cropped/2368215.jpg,Abyss Actor - Hyper Director, ,https://www.arab-duelists.com/assets/img/cards/2368215.jpg,,
